,X,je_count,day_count,month,rate
1,jitter_event_60m_15v_count,4,27,jan_2015,0.148148148
7,jitter_event_60m_15v_count,1,28,feb_2015,0.035714286
13,jitter_event_60m_15v_count,0,31,mar_2015,0
19,jitter_event_60m_15v_count,0,1,apr_2015,0
25,jitter_event_60m_15v_count,0,31,may_2015,0
31,jitter_event_60m_15v_count,3,30,june_2015,0.1
37,jitter_event_60m_15v_count,0,31,july_2015,0
43,jitter_event_60m_15v_count,6,19,aug_2015,0.315789474
49,jitter_event_60m_15v_count,2,30,sept_2015,0.066666667
55,jitter_event_60m_15v_count,304,31,oct_2015,9.806451613
61,jitter_event_60m_15v_count,197,30,nov_2015,6.566666667
67,jitter_event_60m_15v_count,14,19,dec_2015,0.736842105
73,jitter_event_60m_15v_count,141,24,jan_2016,5.875
79,jitter_event_60m_15v_count,531,29,feb_2016,18.31034483
85,jitter_event_60m_15v_count,236,31,mar_2016,7.612903226
91,jitter_event_60m_15v_count,0,1,apr_2016,0
97,jitter_event_60m_15v_count,16,24,may_2016,0.666666667
103,jitter_event_60m_15v_count,67,30,june_2016,2.233333333
109,jitter_event_60m_15v_count,61,31,july_2016,1.967741935
115,jitter_event_60m_15v_count,8,31,aug_2016,0.258064516
121,jitter_event_60m_15v_count,27,30,sept_2016,0.9
127,jitter_event_60m_15v_count,86,31,oct_2016,2.774193548
133,jitter_event_60m_15v_count,579,30,nov_2016,19.3
139,jitter_event_60m_15v_count,448,20,dec_2016,22.4
145,jitter_event_60m_15v_count,285,31,may_2017,9.193548387
151,jitter_event_60m_15v_count,4,30,june_2017,0.133333333
157,jitter_event_60m_15v_count,1,31,july_2017,0.032258065
163,jitter_event_60m_15v_count,0,31,aug_2017,0
169,jitter_event_60m_15v_count,1,30,sept_2017,0.033333333